knee_angle,shoulder_angle,risk_score,risk_level,feedback
179.86,179.89,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.2,176.94,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.92,176.75,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.74,178.92,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.16,179.93,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.17,178.43,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.08,176.87,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.36,176.56,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.74,175.08,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.89,175.09,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.44,174.99,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.46,178.78,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.86,177.92,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.94,177.58,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.77,178.0,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.76,177.14,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.45,176.5,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.71,177.18,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.59,177.71,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.92,177.96,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.69,179.0,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.88,176.88,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.78,175.12,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.72,172.98,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.44,168.66,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.25,162.14,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.03,158.64,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.81,151.35,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.9,149.67,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.01,156.67,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.5,170.66,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.9,179.59,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
170.32,146.1,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
165.09,120.96,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
158.56,97.93,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
152.54,114.51,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.69,128.32,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
169.71,131.01,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
171.74,150.58,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.99,156.45,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.26,172.63,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.98,166.38,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.87,179.8,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.42,177.4,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
171.06,177.03,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.8,166.35,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.07,159.96,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
165.08,157.81,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.48,161.49,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.45,168.8,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
160.34,168.66,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.49,163.58,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
160.09,155.24,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.67,143.44,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
160.11,148.49,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
158.06,164.39,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.0,152.14,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
160.36,151.86,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.67,143.05,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
166.92,163.32,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
168.78,172.14,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
169.48,178.35,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.09,171.01,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.01,113.65,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.4,162.98,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.53,156.1,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
171.38,174.04,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
166.51,172.04,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
161.66,167.79,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
159.0,170.56,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.39,149.3,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
170.53,127.62,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.6,61.27,15,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
171.93,74.39,15,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
179.39,164.8,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
175.79,167.5,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.9,167.76,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.32,168.39,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.7,167.62,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.27,167.08,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.98,167.8,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
177.16,168.82,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.1,170.91,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.3,170.38,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
177.86,166.66,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.41,161.74,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.75,160.54,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.91,160.06,1,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.61,159.07,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.42,157.75,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.96,156.92,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.35,159.44,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.07,164.03,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.52,175.75,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
175.99,17.79,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
